# 2026 BEAT《托福必考2000词》List 01-30
# 格式：单词 | 音标 | 中文释义 | 词性 | 例句（可选）
# PDF 原文未提供例句，因此例句字段暂留空。

[List 01]
combat | [ˈkɑmbæt] | 战斗; 斗争 | n. v. |
profession | [prəˈfɛʃən] | 职业; 业界人士 | n. |
persist | [pərˈsɪst] | 顽强坚持; 继续存在 | v. |
administration | [ædˌmɪnɪˈstreʃən] | 管理; 施行; 行政机关 | n. |
garrison | [ˈɡærɪsən] | 守备部队; 驻防地；驻防驻守 | n. vt. |
mold | [mold] | 模子; 模式; 霉菌；塑造; 浇铸; 发霉 | n. v. |
feat | [fiːt] | 功绩, 伟业; 技艺 | n. |
long-lasting | [lɔŋ 'læstɪŋ] | 长期持久的 | adj. |
representative | [ˌrɛprɪˈzɛntətɪv] | 代表; 议员; 类似物；典型有代表性的 | n. adj. |
comparable | [ˈkɑmpərəbl] | 可比的; 比得上的 | adj. |
subduction | [səb'dʌkʃən] | 减去；潜没 (地壳板块下沉) | n. |
intention | [ɪnˈtɛnʃən] | 意图; 打算 | n. |
oceanic | [ˌoʊʃiˈænɪk] | 海洋的 | adj. |
infrastructure | [ˈɪnfrəˌstrʌktʃɚ] | 基础设施; 基础建设 | n. |
patchy | [ˈpætʃi] | 不调和的; 散落的；时好时坏的 | adj. |
court | [kɔrt] | 法院; 法庭; 宫廷; 球场；求爱; 讨好; 追求 | n. v. |
entity | [ˈentəti] | 实体; 独立存在体 | n. |
spectacular | [spɛkˈtækjəlɚ] | 壮观的; 惊人的；盛大的演出 | adj. n. |
recur | [rɪˈkɚ] | [不好的事] 复发; 重现 | vi. |
luxury | [ˈlʌɡʒəri] | 奢侈豪华; 奢侈品；奢华的 | n. adj. |
trigger | [ˈtrɪɡɚ] | 扳机；引发; 扣扳机 | n. vt. |
archaeology | [ˌɑrkiˈɑlədʒi] | 考古学 | n. |
contrary | [ˈkɑntreri] | 相反(的地)；相反的情况 | adj. adv. n. |
accomplish | [əˈkɑmplɪʃ] | 完成; 达成 | vt. |
mast | [mæst] | 桅杆 | n. |
stabilize | [ˈstebəˌlaɪz] | (使) 稳定, 安定 | v. |

[List 19]
hull | [hʌl] | 船体; 外壳；去壳 | n. v. |
photosynthesis | [ˌfoʊtoʊˈsɪnθəsɪs] | 光合作用 | adj. |
removal | [rɪˈmuvəl] | 免职; 去除; 搬迁 | n. |
mutual | [ˈmjuːtʃuəl] | 互相的 | adj. |
susceptible | [səˈsɛptəbəl] | 易受影响的;易受感 | adj. |
tract | [trækt] | 大片土地 | n. |
economical | [ˌikəˈnɑmɪkl] | 节约的; 精打细算的 | adj. |
precede | [prɪˈsid] | 发生在...之前 | v. |
partial | [ˈpɑːrʃl] | 部分的; 偏袒的; 喜欢 | adj. |
firewood | [ˈfaɪərwʊd] | 木柴 | n. |
delicate | [ˈdɛlɪkɪt] | 微妙的; 精致的; 纤细的；脆弱的 | adj. |
rotate | [ˈroʊteɪt] | 旋转; 轮流; 交替 | v. |
commerce | [ˈkɑmɜrs] | 商业; 贸易 | n. |
modest | [ˈmɑdɪst] | 不太大; 适中的; 谦虚 | adj. |
attach | [əˈtætʃ] | 把...固定; 附加；系上贴上; 赋予 | v. |
blade | [bleɪd] | 刀片; 叶片; 桨叶 | n. |
backbone | [ˈbækboʊn] | 脊梁骨; 分水岭；骨干; 骨气 | n. |
portion | [ˈpɔrʃn] | 一部分；把...按份额分配 | n. v. |
coral | [ˈkɔrəl] | 珊瑚；珊瑚色的 | n. adj. |
static | [ˈstætɪk] | 静止的; 不变的; 静电；静电 | adj. n. |
conspicuous | [kənˈspɪkjuəs] | 明显的；惹人注意的 | adj. |
crack | [kræk] | 破裂折断;瓦解破解；缝隙; 爆裂声 | v. n. |
mammoth | [ˈmæməθ] | 猛玛 (象)；庞大的 | n. adj. |
nucleus | [ˈnukliəs] | 原子核; 组织核心 | n. |
spectator | [ˈspekteɪtər] | (看比赛表演的)观众 | n. |
classic | [ˈklæsɪk] | 典型的; 经典的; 古朴；经典作品 | adj. n. |
shaft | [ʃæft] | 轴, 杆; 竖井; 一束(阳 | n. |
confine | [kənˈfaɪn] | 限制, 禁闭；边界; 界限 | vt. n. |
miniature | [ˈmɪnətʃər] | 小型的, 微小的；小模型; 微型画像 | adj. n. |
soak | [soʊk] | 浸泡, 湿透; 沉浸在 | v. |
tenfold | [ˈtenfoʊld] | 十倍的 | adj. |
stunt | [stʌnt] | 特技表演；引人注意的；阻碍 (生长), 抑制(发展 | n. adj. v. |
turbulence | [ˈtɜrbjələns] | 骚动, 骚乱; 湍流; 动荡 | n. |
fade | [fed] | 褪去; 褪色; 淡出; 暗淡 | v. |
unwilling | [ʌnˈwɪlɪŋ] | 不情愿的 | adj. |
suppress | [səˈprɛs] | 镇压; 抑制; 阻止 | vt. |
aquatic | [əˈkwætɪk] | 水生的; 水中的; 水产 | adj. |
lord | [lɔrd] | 领主; 上帝; 阁下 | n. |
reserve | [rɪˈzɜrv] | 储备; 保护区; 替补队；保留; 预约; 拥有 | n. v. |
collide | [kəˈlaɪd] | 碰撞; 冲突; 抵触 | vi. |
commission | [kəˈmɪʃən] | 委员会; 佣金手续费；委任 | n. v. |
converge | [kənˈvɜrdʒ] | 汇聚; 汇合; 趋同 | v. |
pigment | [ˈpɪɡmənt] | 颜料; 色料; 色素 | n. |
handicraft | [ˈhændikræft] | 手工艺; 手工艺品; 手；者 | n. |
symptom | [ˈsɪmtəm] | 症状; 征兆 | n. |
proton | [ˈproʊtɑn] | 质子 | n. |
philosophy | [fəˈlɑsəfi] | 哲学; 哲理 | n. |
compress | [kəmˈprɛs] | 压缩; 精简 | vt. |
pollute | [pəˈlutnt] | 污染; 弄脏 | v. |
copious | [ˈkoʊpiəs] | 丰富的; 大量的; 充足 | adj. |
standstill | [ˈstændˌstɪl] | 停顿; 停滞 | n. |
diplomatic | [ˌdɪpləˈmætɪk] | 外交的; 有手腕策略的 | adj. |
utensil | [juˈtɛnsəl] | 器具; 器皿; 厨房用具 | n. |
girdle | [ˈgɜrdl] | 腰带; 环形物；围绕, 包围 | n. vt. |
preliminary | [prɪˈlɪmɪneri] | 初步的; 预备的; 开端；准备工作; 预赛; 初步 | adj. n. |
appendage | [əˈpɛndɪdʒ] | 附属物; 附加物 | n. |
van | [væn] | 厢式货车; 先锋先驱 | n. |
convex | [ˈkɑnveks] | 凸起的; 凸面的 | adj. |
optical | [ˈɑptɪkl] | 视力的; 视觉的; 光学的 | adj. |
calm | [kɑm] | 镇定的;风平浪静；(使)平静; 镇痛；宁静 | adj. v. n. |
pretend | [prɪˈtend] | 假装; 扮作; 自诩 | v. |
enlist | [ɛnˈlɪst] | 入伍; 取得; 赢得 | v. |
amply | ['æmplɪ] | 大量地; 充足地 | adv. |
stylish | [ˈstaɪlɪʃ] | 时髦流行的 | adj. |
dynamic | [daɪˈnæmɪk] | 活力的; 动态的；精力充沛的 | n. |
stab | [stæb] | 刺入, 捅刀子 | v. |
amenity | [əˈmenəti] | 愉快舒适; 便利设施 | n. |
claw | [klɔ] | 爪子; 钳子；用爪子抓或撕 | n. v. |
barter | [ˈbɑrtə(r)] | 以物易物 | n. v. |
mason | [ˈmesən] | 石匠, 泥瓦匠 | n. |

[List 20]
cosmic | [ˈkɑzmɪk] | 宇宙的; 外太空的 | adj. |
herbivorous | [həˈbɪvərəs] | 食草的 | adj. |
optimum | [ˈɑptɪməm] | 最优的; 最适宜的；最佳条件 | n. adj. |
consort | [ˈkɑnsɔrt] | 统治者的配偶; 伙伴；来往; 厮混 | v. n. |
pupa | [ˈpjupə] | 蛹 | n. |
disturb | [dɪˈstɜːrb] | 打扰; 搅乱; 妨碍 | v. |
desiccate | [ˈdɛsɪˌket] | 弄干, 使脱水 | vt. |
allegedly | [ə'ledʒɪdlɪ] | 涉嫌的; 据说 | adv. |
package | [ˈpækɪdʒ] | 包装；包裹; 一揽子提议 | n. vt. |
pronounce | [prəˈnaʊns] | 发音; 宣称 | v. |
urchin | [ˈɜrtʃɪn] | 海胆 | n. |
excessive | [ɪkˈsɛsɪv] | 过分的; 过多的 | adj. |
strain | [stren] | 拉紧; 拉伤；压力;张力; 血统, 品种; 气质 | n. v. |
Easter | [ˈistɚ] | 复活节 | n. |
warn | [wɔrn] | 警告, 告诫 | v. |
deprive | [dɪˈpraɪv] | 剥夺; 使丧失 | vt. |
exhaust | [ɪɡˈzɔst] | 耗尽; 精疲力竭；尾气, 废气 | n. v. |
mustard | [ˈmʌstərd] | 芥末, 芥菜 | n. |
underlie | [ˌʌndərˈlaɪ] | 构成...的基础起因 | v. |
steady | [ˈstɛdi] | 稳定的; 镇定的; 沉着的；使稳定坚定 | v. adj. |
interplay | [ˈɪntərpleɪ] | 相互作用 | n. |
calculate | [ˈkælkjuleɪt] | 计算; 估计 | v. |
slop | [slɑp] | 溢出; 溅出；废水; 剩饭 | n. v. |
compound | [ˈkɑmpaʊnd] | 化合物; 混合物；有围墙的场地 | n. |
lengthy | [ˈlɛŋkθi, ˈlɛŋ-] | 漫长的; 长篇大论的 | adj. |
equivalent | [ɪˈkwɪvələnt] | 相等的, 相当的；对应物 | n. adj. |
tidal | [ˈtaɪdl] | 潮水的; 潮汐的 | adj. |
standardize | [ˈstændərdaɪz] | 使标准化 | vt. |
vicinity | [vɪˈsɪnɪti] | 邻近地区; 附近 | n. |
inhale | [ɪnˈhel] | 吸入; 吸气 | v. |
sorghum | [ˈsɔrgəm] | 高粱 | n. |
pollinator | ['pɒlɪneɪtə] | 传粉媒介; 传粉昆虫 | n. |
collapse | [kəˈlæps] | 倒塌; 崩溃；垮台; 暴跌 | n. v. |
symbolic | [sɪmˈbɑlɪk] | 象征的; 符号的 | adj. |
temporary | [ˈtempəreri] | 短暂的; 临时的 | adj. |
unearth | [ʌnˈɜːrθ] | 发现; 揭露; 挖掘 | vt. |
windmill | [ˈwɪndˌmɪl] | 风车 | n. |
sparse | [spɑrs] | 稀少的 | adj. |
cap | [kæp] | 盖子; 帽子 | n. |
security | [səˈkjʊrəti] | 安全; 防卫; 证券; 抵押品 | n. |
far-reaching | [ˈfɑrˈritʃɪŋ] | 影响深远的 | adj. |
partnership | [ˈpɑrtnərʃɪp] | 伙伴; 合作关系 | n. |
wagon | [ˈwæɡən] | 运货马车; 车皮 | n. |
stationary | [ˈsteɪʃəneri] | 静止的; 不动的 | adj. |
long-lived | [ˈlɔŋˈlaɪvd,] | 长命的, 持久的 | adj. |
implicate | [ˈɪmplɪkeɪt] | 使牵连其中; 涉及 | v. |
relief | [rɪˈlif] | 宽慰, 安心; 免除, 减轻；救援物资 | n. |
watercraft | ['wɔtəˌkrɑft] | 船只; 船舶 | n. |
rebound | [ˈriˈbaʊnd] | 弹回; 恢复; 回响 | n. v. |
maple | [ˈmepəl] | 枫树 | n. |
via | [ˈvaɪə, ˈviə] | 经过; 凭借 | prep. |
isle | [aɪl] | 小岛 | n. |
spin | [spɪn] | 旋转; 甩干; 头晕; 纺纱；吐丝 | n. v. |
meager | [ˈmiɡɚ] | 贫乏的; 不足的; 粗劣的 | adj. |
multiply | [ˈmʌltəˌplaɪ] | 相乘; 增加; 繁殖 | v. |
silicate | [ˈsɪlɪˌket] | 硅酸盐 | n. |
texture | [ˈtɛkstʃɚ] | 质地; 纹理; 结构 | n. |
weave | [wiv] | 编织；编造; 迂回行进 | v. n. |
rigid | [ˈrɪdʒɪd] | 严格的; 刚性的; 僵硬的；顽固的 | adj. |
workshop | [ˈwɜrkʃɑp] | 车间; 研讨会 | n. |
monumental | [ˌmɑnjuˈmentl] | 极大的; 不朽的 | adj. |
durable | [ˈdʊrəbl] | 耐用的; 持久的 | adj. |
tribe | [traɪb] | 部落, 部族; 一伙人 | n. |
agriculture | [ˈæɡrɪkʌltʃər] | 农业; 农学 | n. |
cavity | [ˈkævɪti] | 腔洞; 蛀牙 | n. |
bark | [bɑrk] | 树皮; 吠叫；吼叫; 厉声叫喊 | v. n. |
pinpoint | [ˈpɪnˌpɔɪnt] | 准确指出; 精准定位；针尖; 精确位置；精确地 | n. adj. vt. |
leak | [lik] | 漏出; 泄露; 漏电, 漏水 | n. v. |
cliff | [klɪf] | (；(海边的) 悬崖 | n. |
astronomy | [əˈstrɑːnəmi] | 天文学 | n. |

[List 21]
exceed | [ɪkˈsid] | 超过; 超越 | v. |
illuminate | [ɪˈluməˌnet] | 照亮; 阐明 | v. |
harness | [ˈhɑrnɪs] | 马具；利用; 控制 | n. v. |
courtship | [ˈkɔrtʃɪp] | 求爱; 求偶 | n. |
turbine | [ˈtɜrbaɪn] | 涡轮机 | n. |
lens | [lɛnz] | 透镜, 镜头; 晶状体 | n. |
portable | [ˈpɔːrtəbl] | 轻便的; 便于携带 | adj. |
realize | [ˈriːəlaɪz] | 认识到; 实现 | v. |
jewelry | [ˈdʒuəlri] | 珠宝首饰 | n. |
herbicide | [ˈɜrbɪsaɪd] | 除草剂 | n. |
spite | [spaɪt] | 恶意; 怨恨 | n. |
mission | [ˈmɪʃən] | 使命; 天职；代表团 | n. |
dangle | [ˈdæŋɡəl] | 悬挂; 悬摆; 悬而未定 | v. |
anatomy | [əˈnætəmi] | 解剖; 剖析 | n. |
precursor | [priˈkɜrsə(r)] | 先驱先锋; 前身 | n. |
drawback | [ˈdrɔˌbæk] | 缺点; 不利条件 | n. |
luminous | [ˈlumənəs] | 发光的; 明亮的；清楚的 | adj. |
radiate | [ˈrediˌet] | 辐射; 流露; 散发 | vt. |
nectar | [ˈnɛktɚ] | 花蜜; 甘露 | n. |
petal | [ˈpɛtl] | 花瓣 | n. |
sturdy | [ˈstɜrdi] | 坚固的; 强壮的 | adj. |
leather | [ˈlɛðɚ] | 皮革; 皮外套 | n. |
remnant | [ˈrɛmnənt] | 剩余; 残存; 边角料 | n. |
lush | [lʌʃ] | 草木丰盛的; 豪华的 | adj. |
stealthy | [ˈstɛlθi] | 鬼鬼祟祟的; 悄悄 | adj. |
passive | [ˈpæsɪv] | 被动的; 消极的 | adj. |
whisk | [wɪsk] | 搅拌; 飞奔；搅拌器 | v. n. |
detrimental | [ˌdɛtrəˈmɛntl] | 有害的; 不利的 | adj. |
dampen | [ˈdæmpən] | 弄湿; 抑制; 减弱 | v. |
shark | [ʃɑrk] | 鲨鱼; 诈骗者 | n. |
carpet | [ˈkɑrpɪt] | 地毯; 覆盖物；铺地毯; 覆盖 | n. v. |
thermal | [ˈθɜrml] | 热的; 保暖的 | adj. |
panel | [ˈpænəl] | 嵌板; 控制板; 专门小 | n. |
disorder | [dɪsˈɔrdə(r)] | 混乱; 失调 | n. |
linear | [ˈlɪniər] | 直线的; 线性的 | adj. |
pulverize | [ˈpʌlvəˌraɪz] | 弄碎; 磨成粉; 摧毁 | vt. |
sift | [sɪft] | 筛面粉筛沙子; 审查 | v. |
forbid | [fərˈbɪd] | 禁止; 妨碍 | v. |
articulate | [ɑːrˈtɪkjuleɪt] | 清晰表达；善于表达的 | v. adj. |
optic | [ˈɑptɪk] | 眼睛视觉的 | adj. |
impersonate | [ɪmˈpɜrsəneɪt] | 扮演; 模仿 | v. |
fair | [fer] | 公平合理的；交易会 | adj. adv. n. |
concession | [kənˈsɛʃən] | 让步; 优惠; 特许权 | n. |
exempt | [ɪɡˈzɛmpt] | 免除, 豁免 | v. |
register | [ˈrɛdʒɪstɚ] | 登记; 注册；表达流露情绪 | n. v. |
attempt | [əˈtɛmpt] | 试图; 尝试 | v. |
abbreviate | [əˈbriviˌet] | 缩写; 缩略 | v. |
creek | [krik] | 小湾, 小河, 小溪 | n. |
wine | [waɪn] | 葡萄酒; 深红色 | n. |
courier | [ˈkʊriɚ] | 快递员; 快递公司 | n. |
beak | [bik] | (猛禽等的)嘴, 喙 | n. |
constipation | [ˌkɑnstɪˈpeɪʃn] | 便秘 | n. |
assembly | [əˈsɛmbli] | 议会; 集会; 装配组装 | n. |
fur | [fɚ] | 皮草; 软毛 | n. |
dust | [dʌst] | 灰尘, 尘土 | n. |
continual | [kənˈtɪnjuəl] | 连续的, 频繁的 | adj. |
alliance | [əˈlaɪəns] | 联盟; 同盟 | n. |
piracy | [ˈpaɪrəsi] | 海盗行为; 盗版行为 | n. |
well-defined | [ˈwɛldɪˈfaɪnd] | 定义明确的 | adj. |
peanut | [ˈpiˌnʌt] | 花生 | n. |
ever-changing | ['evərtʃ'eɪndʒɪŋ] | 日新月异的 | adj. |
logistic | [loˈdʒɪstɪk] | 后勤的;物流的;组 | adj. |
capital | [ˈkæpɪtl] | 首都; 资本; 柱头；大写字母；资本的; 首都的 | n. adj. |
colony | [ˈkɑːləni] | 殖民地;群落 | n. |
radiocarbon | [ˌreɪdioʊˈkɑrbən] | 放射性碳 | n. |
troop | [trup] | 军队; 一群；成群移动 | n. v. |
delta | [ˈdɛltə] | (河流的)三角洲 | n. |
hint | [hɪnt] | 迹象; 微量; 暗示；暗示 | n. v. |
characterization | [kærəktəraɪ'zeɪʃn] | 人物塑造 | n. |
meteorology | [ˌmiːtiəˈrɑːlədʒi] | 气象学 | n. |

[List 22]
vapor | [ˈveɪpər] | 水汽, 水蒸气 | n. |
forage | [ˈfɔrɪdʒ] | 饲料；觅食; 搜寻 | n. v. |
depose | [dɪˈpoʊz] | 免职; 罢免 | v. |
relic | [ˈrɛlɪk] | 遗物, 遗迹; 废墟; 纪念物 | n. |
opposition | [ˌɑpəˈzɪʃn] | 反对; 对手 | n. |
withdraw | [wɪðˈdrɔː] | 撤退; 取钱; 收回 | v. |
disrupt | [dɪsˈrʌpt] | 使中断; 扰乱 | v. |
abstract | [æbˈstrækʃən] | 抽象的；摘要；提取 | adj. n. v. |
medium | [ˈmidiəm] | 中等的; 平均的；五分熟的；媒介; 方式; 中庸 | adj. n. |
controversial | [ˌkɑntrəˈvɜrʃl] | 有争议的 | adj. |
inconclusive | [ˌɪnkənˈklusɪv] | 不确定的; 无结论的 | adj. |
shipyard | [ˈʃɪpjɑrd] | 船坞; 造船厂 | n. |
shoreline | [ˈʃɔrlaɪn] | 海岸线 | n. |
gully | [ˈɡʌli] | 溪谷; 建筑雨水口 | n. |
proponent | [prəˈpoʊnənt] | 支持者, 拥护者; 提倡者 | n. |
council | [ˈkaʊnsəl] | 委员会; 市政管理机构 | n. |
odd | [ɑd] | 古怪的; 奇数的；少量的 | adj. |
perplex | [pərˈpleks] | 使困惑; 迷惑 | vt. |
motionless | [ˈmoʊʃnləs] | 静止不动的 | adj. |
obliterate | [əˈblɪtəˌret] | 消灭; 清除; 忘却 | v. |
widen | [ˈwaɪdn] | 加宽 | v. |
magnetic | [mæɡˈnɛtɪk] | 有磁性的; 吸引力的 | adj. |
altogether | [ˌɔltəˈɡɛðɚ] | 全部地; 总共; 总之 | adv. |
caravan | [ˈkærəˌvæn] | 拖车大篷车; 商队 | n. |
aristocratic | [əˌrɪstəkrætɪk] | 贵族的 | adj. |
recount | [rɪˈkaʊnt] | 详述; 重新计算 | v. |
thesis | [ˈθisɪs] | 论文; 论点; 命题 | n. |
superiority | [suˌpɪriˈɔrəti] | 优势, 优越性 | n. |
contend | [kənˈtɛnʃən] | 声称; 对付; 争夺 | v. |
contract | [ˈkɑntrækt] | 合同; 契约；收缩; 缩小 | n. v. |
compensate | [ˈkɑmpenseɪt] | 补偿; 报酬; 抵消 | v. |
informal | [ɪnˈfɔrml] | 非正式; 随意的 | adj. |
earthquake | [ˈɜrθkweɪk] | 地震 | n. |
assess | [əˈsɛs] | 评估; 估价 | vt. |
hydrology | [haɪˈdrɑlədʒi] | 水文, 水文学 | n. |
tar | [tɑr] | 柏油; 沥青; 焦油 | n. |
Caucasian | [kɔˈkeɪʒən] | 白种人；高加索人的; 白种人的 | n. adj. |
bind | [baɪnd] | 约束; 装订; 捆绑；联系紧密 | vt. |
undertake | [ˌʌndərˈteɪk] | 承担, 从事 | vt. |
impede | [ɪmˈpiːd] | 妨碍; 阻碍; 阻止 | v. |
negotiate | [nɪˈgoʊʃieɪt] | 谈判协商; 顺利通过 | v. |
pillar | [ˈpɪlɚ] | 柱子; 中坚核心 | n. |
rectangular | [rɛkˈtæŋɡjəlɚ] | 矩形; 长方形的 | adj. |
plumage | [ˈplumɪdʒ] | 鸟的全身羽毛; 漂亮衣服 | n. |
mate | [met] | 伙伴; 配偶配对物；交配 | n. v. |
being | [ˈbiɪŋ] | 存在; 生物 | n. |
kneel | [nil] | 跪, 下跪 | v. |
petrify | [pɛtrəˈfækʃən] | 吓呆; 停止发展 | v. |
engulf | [ɛnˈɡʌlf] | 吞没吞食; 陷入某种情绪 | v. |
informant | [ɪnˈfɔrmənt] | 信息提供人; 告密者 | n. |
shed | [ʃed] | 棚屋; 工棚；蜕皮; 脱毛; 落叶; 去除 | n. v. |
indigenous | [ɪnˈdɪdʒənəs] | 土生土长的; 固有的 | adj. |
outweigh | [aʊtˈwe] | 重于; 大于; 超过 | v. |
antiquity | [ænˈtɪkwɪti] | 古老; 古迹; 古物; 古人 | n. |
neglect | [nɪˈɡlɛkt] | 疏忽; 忽略; 疏漏 | n. v. |
hectare | [ˈhekter] | 公顷 (=1万平米) | n. |
preference | [ˈprɛfərəns,] | 偏爱; 优先权 | n. |
spectrum | [ˈspɛktrəm] | 光谱; 范围 | n. |
fiber | ['faɪbə] | 纤维; 光纤 | n. |
rope | [roʊp] | 绳索; 一串；捆绑; 用套索抓捕 | n. v. |
humidity | [hjuˈmɪdɪti] | 湿度; 潮湿; 湿热 | n. |
hydrogen | [ˈhaɪdrədʒən] | 氢 | n. |
bite | [baɪt] | 咬; 叮；一点儿食物 | v. n. |
Pluto | [ˈplutoʊ] | 冥王星 | n. |
correlate | [kɔːrəleɪt] | 使互相关联 | v. |
perfume | [pərˈfjum] | 香水; 香料; 香味 | n. |
distract | [dɪˈstrækt] | 使分心; 使混乱 | v. |
versus | [ˈvɜrsəs] | 对抗 | prep. |
clarify | [ˈklærəˌfaɪ] | 澄清; 清醒; 使清楚 | v. |
seafarer | [ˈsiferə(r)] | 船员, 航海家 | n. |

[List 23]
parallel | [ˈpærəˌlɛl] | 平行的; 类似的; 并联；平行; 相似物类比；使平行; 与...媲美 | adj. n. v. |
lump | [lʌmp] | 块, 肿块；结块成团 | n. v. |
deliver | [dɪˈlɪvər] | 发表; 递送; 交付; 分娩 | v. |
Neptune | [ˈneptjuːn] | 海王星 | n. |
maintenance | [ˈmentənəns] | 维持; 保养; 维护 | n. |
habituation | [həˌbɪtʃu'eɪʃən] | 适应; 惯于 | n. |
paradigm | [ˈpærədaɪm] | 范例, 样式, 模范 | n. |
mixture | [ˈmɪkstʃɚ] | 混合; 混合物 | n. |
by-product | [ˈbaɪˌprɑdəkt] | 副产品; 副作用 | n. |
dormant | [ˈdɔrmənt] | 潜伏的, 休眠的 | adj. |
privilege | [ˈprɪvəlɪdʒ] | 特权; 权益；给与...特权 | n. v. |
metabolism | [mɪˈtæbəˌlɪzəm] | 新陈代谢 | n. |
auditory | [ˈɔdətɔri] | 听觉的 | adj. |
slip | [slɪp] | 滑倒; 脱落; 下跌；时间飞逝；跌倒; 过失; 片条 | v. n. |
transplant | [trænsˈplænt] | 移植 | n. v. |
consequent | [ˈkɑnsɪˌkwɛnt] | 随之发生的; 必然的 | adj. |
ornament | [ˈɔrnəmənt] | 装饰; 装饰物 | n. |
quantify | [ˈkwɑntɪfaɪ] | 量化, 确定...的数量 | vt. |
equip | [ɪˈkwɪp] | 装备, 配备; 使有能力 | v. |
updraft | ['ʌpˌdrɑft] | 上升气流; 向上排气 | n. |
tactic | [ˈtæktɪk] | 手段; 策略; 战术 | n. |
offset | [ˈɔfset] | 抵消; 补偿; 并列 | n. v. |
strengthen | [ˈstrɛŋkθən] | 加强, 巩固 | v. |
heredity | [həˈredəti] | 遗传(过程) | n. |
anecdote | [ˈænɪkdoʊt] | 轶事; 趣闻 | n. |
afield | [əˈfild] | 在野外; 在远方；在战场上 | adv. |
peach | [pitʃ] | 桃子; 桃红色; 迷人的人 | n. |
prominent | [ˈprɑmɪnənt] | 突出的, 杰出的 | adj. |
supersede | [ˌsupərˈsid] | 取代; 替代 | v. |
capture | [ˈkæptʃɚ] | 俘获; 夺取; 引起; 拍摄 | v. |
solidarity | [ˌsɑlɪˈdærəti] | 团结一致 | n. |
secrete | [sɪˈkrit] | 分泌; 隐藏 | vt. |
irritate | [ˈɪrɪteɪt] | 刺激; 激怒 | n. |
measurable | [ˈmɛʒərəbəl] | 可测量的; 显著的 | adj. |
canyon | [ˈkænjən] | 峡谷, 溪谷 | n. |
grey | [ɡre] | 灰色；灰色的; 灰白头发的；阴暗的 | n. adj. |
spherical | [ˈsfɪrɪkəl] | 球形的, 球面的 | adj. |
elicit | [ɪˈlɪsɪt] | 引出; 诱出 | v. |
finance | [fəˈnæns] | 财政; 金融；提供资金; 资助 | n. v. |
fuse | [fjuz] | 熔化; 融合；保险丝 | v. n. |
currency | [ˈkɜrənsi] | 货币; 流通; 流行 | n. |
cohesive | [koʊˈhisɪv] | 统一的; 团结的 | adj. |
reflex | [ˈriˌflɛks] | 本能反应; 条件反射 | n. |
intimate | [ˈɪntəmɪt] | 亲密的; 私下的；至交；暗示; 提示 | adj. n. v. |
oak | [oʊk] | 橡树 | n. |
intrigue | [ˈɪnˌtriɡ] | 阴谋; 诡计；迷住; 激起好奇心 | n. v. |
obscure | [əbˈskjʊr] | 昏暗的; 晦涩的; 无名；遮掩; 使费解; 模糊不清 | adj. v. |
examination | [ɪɡˌzæmɪˈneɪʃn] | 检查; 考试 | n. |
imperial | [ɪmˈpɪriəl] | 帝国的; 英制单位的 | adj. |
reset | [riˈsɛt] | 重置;重排;重装 | n. v. |
notable | [ˈnoʊtəbl] | 显著的; 著名的；显要人物 | adj. n. |
arable | [ˈærəbəl] | 适于耕种的 | adj. |
old- | [ˈoldˈfæʃənd] | 老式, 过时的 | adj. |
fashionedoutgo | [ˌaʊt'goʊ] | 超过; 优于 | v. |
emperor | [ˈɛmpəɚ] | 皇帝, 君主 | n. |
reform | [rɪˈfɔrm] | 改革; 改良; 改造 | n. v. |
sunrise | [ˈsʌnˌraɪz] | 日出 | n. |
abroad | [əˈbrɔːd] | 到国外 | adv. |
timescale | [ˈtaɪmˌskeɪl] | 时段; 时间表 | n. |
precision | [prɪˈsɪʒən] | 精确; 精密 | n. |
persistent | [pərˈsɪstənt] | 持续; 坚持不懈的 | adj. |
livable | ['lɪvəbəl] | 适于居住的 | adj. |
margin | [ˈmɑrdʒən] | 边缘; 盈余; 页边空白 | n. |
mule | [mjul] | 骡子; 顽固的人 | n. |
willow | [ˈwɪloʊ] | 柳树 | n. |
salinity | [sə'lɪnətɪ] | 盐分; 含盐浓度 | n. |
shiny | [ˈʃaɪni] | 发光的; 闪耀的 | adj. |
sag | [sæɡ] | 下垂;消沉;萎靡 | n. v. |
deteriorate | [dɪˈtɪriəreɪt] | 恶化; 变坏; 衰退 | v. |
propulsion | [prəˈpʌlʃən] | 推进力 | n. |

[List 24]
universal | [ˌjunɪˈvɜrsl] | 普遍全体的；全球的; 宇宙的 | adj. |
alive | [əˈlaɪv] | 活着的; 活泼的; 有生气的 | adj. |
sulfate | [ˈsʌlˌfet] | 硫酸盐；硫酸盐化(处理) | n. v. |
selfish | [ˈsɛlfɪʃ] | 自私的 | adj. |
progressive | [prəˈɡrɛsɪv] | 进步的; 进行的 | adj. |
naturalist | [ˈnætʃərəlɪst] | 博物学家 | n. |
guarantee | [ˌɡærənˈti] | 保证; 保证书; 抵押品；保证, 担保 | n. v. |
coconut | [ˈkoʊkənʌt] | 椰子; 椰肉 | n. |
contradict | [ˌkɑntrəˈdɪkt] | 反驳; 违背 | v. |
granule | [ˈɡrænjul] | 小颗粒, 小硬粒 | n. |
aboard | [əˈbɔrd] | 在船(或飞机, 车) | prep. adv. |
